Run,MAX_SEQ_LENGTH,BATCH_SIZE,EMBED_DIM,HIDDEN_DIM,EPOCHS,Test Accuracy (%),Training Time (s),Memory Usage (MB),Model Size (MB)
1,50,32,100,128,5,39.5,83.15,584.91,3.28
2,35,32,100,128,5,34.75,85.4,608.95,2.52
3,50,16,100,128,5,38.15,84.96,610.65,3.28
4,50,32,200,128,5,46.8,113.99,704.05,4.23
5,50,32,100,256,5,34.8,240.37,817.35,3.28
6,50,64,300,128,10,85.05,306.05,746.36,10.66
7,50,64,300,256,10,83.35,796.7,1499.98,12.33
8,50,64,300,128,20,89.4,602.88,810.93,8.83
9,50,128,300,128,20,89.3,595.56,482.73,9.32
10,50,128,350,192,20,88.1,1192.83,889.44,9.32
